"","gta.series","gta.number"
"1300001","J","825925"
"1300002","J","886898"
"1300003","J","478653"
"1300004","K","091134"
"1300005","E","608229"
"1300006","J","092122"
"1300007","J","898289"
"1300008","Z","256974"
"1300009","J","170682"
"1300010","K","266397"
"1300011","K","970433"
"1300012","J","525249"
"1300013","K","805837"
"1300014","J","580323"
"1300015","K","959928"
"1300016","K","469499"
"1300017","E","519265"
"1300018","E","285567"
"1300019","K","916460"
"1300020","E","142043"
"1300021","Z","833792"
"1300022","E","353141"
"1300023","E","567423"
"1300024","Z","315403"
"1300025","E","019239"
"1300026","Z","483931"
"1300027","E","701825"
"1300028","J","139311"
"1300029","E","155071"
"1300030","J","872348"
"1300031","K","073430"
"1300032","Z","251403"
"1300033","E","704014"
"1300034","J","968358"
"1300035","K","931229"
"1300036","J","569157"
"1300037","K","834809"
"1300038","K","517142"
"1300039","E","489239"
"1300040","K","877363"
"1300041","J","113967"
"1300042","E","651337"
"1300043","K","819093"
"1300044","K","348358"
"1300045","E","764311"
"1300046","J","001276"
"1300047","Z","588787"
"1300048","K","024823"
"1300049","E","867107"
"1300050","J","342807"
"1300051","E","426578"
"1300052","K","997321"
"1300053","E","848947"
"1300054","E","530577"
"1300055","J","203204"
"1300056","J","444414"
"1300057","K","490848"
"1300058","E","287320"
"1300059","K","699236"
"1300060","J","055912"
"1300061","K","586166"
"1300062","Z","998042"
"1300063","E","920116"
"1300064","E","328948"
"1300065","K","104294"
"1300066","E","617765"
"1300067","K","230163"
"1300068","J","482666"
"1300069","Z","571247"
"1300070","E","065118"
"1300071","Z","312564"
"1300072","E","112551"
"1300073","J","082846"
"1300074","E","747771"
"1300075","K","139712"
"1300076","J","564635"
"1300077","Z","792998"
"1300078","J","184065"
"1300079","J","048800"
"1300080","E","300801"
"1300081","K","129633"
"1300082","J","341874"
"1300083","J","856081"
"1300084","E","842318"
"1300085","Z","875853"
"1300086","Z","181136"
"1300087","Z","707293"
"1300088","J","704674"
"1300089","E","904913"
"1300090","J","626437"
"1300091","E","077520"
"1300092","J","527310"
"1300093","K","071302"
"1300094","K","770979"
"1300095","K","438861"
"1300096","K","831518"
"1300097","J","773834"
"1300098","E","311179"
"1300099","K","978590"
"1300100","K","794484"
"1300101","E","421769"
"1300102","Z","205118"
"1300103","E","263705"
"1300104","K","520046"
"1300105","K","012332"
"1300106","E","504341"
"1300107","E","941791"
"1300108","Z","137626"
"1300109","J","133572"
"1300110","K","504727"
"1300111","J","416548"
"1300112","E","357189"
"1300113","E","700808"
"1300114","E","553977"
"1300115","E","218854"
"1300116","E","373268"
"1300117","E","486042"
"1300118","E","785081"
"1300119","E","677347"
"1300120","Z","382066"
"1300121","J","938470"
"1300122","E","201744"
"1300123","J","345844"
"1300124","Z","319390"
"1300125","Z","602908"
"1300126","K","759523"
"1300127","E","366506"
"1300128","E","949526"
"1300129","J","256281"
"1300130","K","718699"
"1300131","Z","635976"
"1300132","J","748526"
"1300133","K","528918"
"1300134","Z","093450"
"1300135","J","155611"
"1300136","E","387293"
"1300137","K","933857"
"1300138","J","398110"
"1300139","Z","352043"
"1300140","K","318438"
"1300141","E","602621"
"1300142","K","802099"
"1300143","K","473845"
"1300144","K","484522"
"1300145","K","999147"
"1300146","K","164240"
"1300147","E","747670"
"1300148","K","520535"
"1300149","J","382582"
"1300150","E","474840"
"1300151","Z","752875"
"1300152","E","904328"
"1300153","K","416912"
"1300154","J","698071"
"1300155","K","980642"
"1300156","K","269793"
"1300157","Z","358538"
"1300158","J","740321"
"1300159","K","289963"
"1300160","E","832265"
"1300161","J","948160"
"1300162","E","341391"
"1300163","E","741767"
"1300164","K","532701"
"1300165","E","009677"
"1300166","Z","854390"
"1300167","K","742848"
"1300168","K","485440"
"1300169","J","709326"
"1300170","J","581644"
"1300171","Z","500064"
"1300172","Z","027192"
"1300173","J","749216"
"1300174","E","471241"
"1300175","J","448493"
"1300176","K","130431"
"1300177","Z","754592"
"1300178","E","972529"
"1300179","K","486156"
"1300180","E","669530"
"1300181","Z","029503"
"1300182","K","562303"
"1300183","J","037873"
"1300184","E","608750"
"1300185","Z","265025"
"1300186","J","440307"
"1300187","J","589499"
"1300188","Z","753392"
"1300189","E","550949"
"1300190","Z","193263"
"1300191","E","914688"
"1300192","K","630843"
"1300193","Z","334439"
"1300194","Z","728573"
"1300195","K","839966"
"1300196","K","686800"
"1300197","K","451522"
"1300198","Z","325785"
"1300199","K","154270"
"1300200","J","513004"
"1300201","Z","306167"
"1300202","Z","201298"
"1300203","Z","772425"
"1300204","Z","242216"
"1300205","J","486211"
"1300206","J","742369"
"1300207","J","027796"
"1300208","E","279147"
"1300209","E","098875"
"1300210","K","447104"
"1300211","J","005636"
"1300212","J","620111"
"1300213","E","949425"
"1300214","K","980418"
"1300215","E","973856"
"1300216","K","688526"
"1300217","E","845631"
"1300218","K","851458"
"1300219","J","170590"
"1300220","Z","287072"
"1300221","E","071227"
"1300222","E","141150"
"1300223","K","819024"
"1300224","E","763983"
"1300225","E","305011"
"1300226","K","502146"
"1300227","Z","107025"
"1300228","J","189093"
"1300229","E","408711"
"1300230","Z","943876"
"1300231","E","914518"
"1300232","J","659173"
"1300233","J","900950"
"1300234","E","975359"
"1300235","E","764244"
"1300236","E","056474"
"1300237","Z","687316"
"1300238","E","136291"
"1300239","K","837352"
"1300240","K","168420"
"1300241","Z","620973"
"1300242","Z","116204"
"1300243","K","900870"
"1300244","E","092601"
"1300245","Z","400877"
"1300246","Z","876569"
"1300247","E","105050"
"1300248","Z","583267"
"1300249","K","916002"
"1300250","J","403414"
"1300251","K","700408"
"1300252","J","384101"
"1300253","J","286673"
"1300254","E","375320"
"1300255","J","796495"
"1300256","E","765480"
"1300257","E","816546"
"1300258","Z","192498"
"1300259","Z","690356"
"1300260","Z","124105"
"1300261","E","555322"
"1300262","J","076500"
"1300263","E","597601"
"1300264","K","055066"
"1300265","J","596434"
"1300266","Z","339200"
"1300267","E","803112"
"1300268","Z","722077"
"1300269","K","857667"
"1300270","J","526951"
"1300271","E","594673"
"1300272","J","576000"
"1300273","E","754341"
"1300274","Z","923431"
"1300275","E","759833"
"1300276","Z","488513"
"1300277","J","311514"
"1300278","E","214039"
"1300279","E","708554"
"1300280","E","074705"
"1300281","Z","271372"
"1300282","J","328393"
"1300283","E","670159"
"1300284","Z","592089"
"1300285","Z","647531"
"1300286","Z","538140"
"1300287","Z","915725"
"1300288","K","443397"
"1300289","K","878405"
"1300290","E","304055"
"1300291","J","200122"
"1300292","K","818353"
"1300293","E","392796"
"1300294","K","057920"
"1300295","J","417165"
"1300296","J","683245"
"1300297","J","635802"
"1300298","J","834609"
"1300299","E","029157"
"1300300","Z","349284"
"1300301","Z","132682"
"1300302","K","445923"
"1300303","J","155242"
"1300304","K","907795"
"1300305","K","130665"
"1300306","Z","391079"
"1300307","Z","366298"
"1300308","Z","383333"
"1300309","J","087606"
"1300310","J","172314"
"1300311","Z","857143"
"1300312","K","930185"
"1300313","Z","297201"
"1300314","K","221119"
"1300315","E","630166"
"1300316","J","232171"
"1300317","Z","734832"
"1300318","K","477128"
"1300319","K","486662"
"1300320","J","526218"
"1300321","Z","553567"
"1300322","E","275057"
"1300323","E","265099"
"1300324","J","836647"
"1300325","J","461067"
"1300326","J","147353"
"1300327","E","705885"
"1300328","K","042578"
"1300329","Z","144507"
"1300330","E","159719"
"1300331","K","925392"
"1300332","J","975805"
"1300333","K","751560"
"1300334","Z","136859"
"1300335","E","973733"
"1300336","K","569595"
"1300337","J","714428"
"1300338","Z","230824"
"1300339","E","016669"
"1300340","Z","316752"
"1300341","J","122553"
"1300342","K","845850"
"1300343","J","299519"
"1300344","J","996101"
"1300345","J","514866"
"1300346","K","168453"
"1300347","J","355074"
"1300348","J","154578"
"1300349","Z","376213"
"1300350","Z","745248"
"1300351","E","475463"
"1300352","J","659935"
"1300353","J","045439"
"1300354","K","982837"
"1300355","E","433055"
"1300356","J","015662"
"1300357","E","003107"
"1300358","K","448171"
"1300359","K","804447"
"1300360","E","003511"
"1300361","E","597922"
"1300362","J","781375"
"1300363","E","091814"
"1300364","J","003991"
"1300365","K","198115"
"1300366","Z","824978"
"1300367","Z","950117"
"1300368","E","757655"
"1300369","K","430611"
"1300370","J","821141"
"1300371","K","748325"
"1300372","J","967042"
"1300373","K","864229"
"1300374","E","334341"
"1300375","E","123459"
"1300376","E","376079"
"1300377","Z","830247"
"1300378","K","365270"
"1300379","J","714235"
"1300380","Z","322562"
"1300381","J","092648"
"1300382","K","797400"
"1300383","J","824930"
"1300384","K","530588"
"1300385","E","809541"
"1300386","K","775985"
"1300387","K","898477"
"1300388","K","936426"
"1300389","J","426701"
"1300390","J","554582"
"1300391","Z","036806"
"1300392","E","175105"
"1300393","E","181224"
"1300394","Z","097865"
"1300395","J","314577"
"1300396","E","548765"
"1300397","Z","016320"
"1300398","E","868482"
"1300399","K","346373"
"1300400","E","306017"
"1300401","K","478656"
"1300402","E","103717"
"1300403","Z","448990"
"1300404","J","688876"
"1300405","K","935740"
"1300406","E","218227"
"1300407","E","181778"
"1300408","J","082071"
"1300409","Z","069662"
"1300410","K","257431"
"1300411","K","582027"
"1300412","Z","190239"
"1300413","Z","613201"
"1300414","E","443293"
"1300415","E","921342"
"1300416","J","214691"
"1300417","K","430735"
"1300418","K","533244"
"1300419","K","960432"
"1300420","K","902856"
"1300421","Z","717448"
"1300422","E","621935"
"1300423","J","776549"
"1300424","E","249486"
"1300425","Z","491210"
"1300426","J","840862"
"1300427","K","887783"
"1300428","E","465038"
"1300429","E","192550"
"1300430","K","658890"
"1300431","Z","699201"
"1300432","K","890186"
"1300433","J","783815"
"1300434","Z","779069"
"1300435","K","285741"
"1300436","J","184101"
"1300437","E","065724"
"1300438","J","406817"
"1300439","E","388892"
"1300440","E","147080"
"1300441","K","964849"
"1300442","E","370464"
"1300443","Z","378206"
"1300444","K","766956"
"1300445","K","530009"
"1300446","K","526215"
"1300447","Z","069846"
"1300448","Z","799938"
"1300449","J","982245"
"1300450","E","810211"
"1300451","J","317962"
"1300452","K","724944"
"1300453","K","332442"
"1300454","Z","916946"
"1300455","E","900642"
"1300456","K","898595"
"1300457","Z","949275"
"1300458","Z","000896"
"1300459","K","999821"
"1300460","J","191410"
"1300461","E","497326"
"1300462","E","214817"
"1300463","E","504955"
"1300464","E","850159"
"1300465","E","564912"
"1300466","E","272805"
"1300467","Z","972871"
"1300468","J","510478"
"1300469","K","142497"
"1300470","E","410891"
"1300471","K","709383"
"1300472","J","428221"
"1300473","K","238613"
"1300474","E","644317"
"1300475","K","576391"
"1300476","J","057267"
"1300477","E","806160"
"1300478","J","761389"
"1300479","J","599458"
"1300480","Z","599682"
"1300481","K","193054"
"1300482","E","095821"
"1300483","K","213826"
"1300484","J","738153"
"1300485","Z","775314"
"1300486","Z","137605"
"1300487","J","973130"
"1300488","K","774634"
"1300489","E","693992"
"1300490","K","986646"
"1300491","E","971180"
"1300492","J","879246"
"1300493","E","176596"
"1300494","K","994716"
"1300495","Z","568830"
"1300496","E","468834"
"1300497","J","119345"
"1300498","K","511068"
"1300499","K","717877"
"1300500","K","374505"
"1300501","J","247238"
"1300502","K","506512"
"1300503","E","427032"
"1300504","J","501111"
"1300505","E","414099"
"1300506","E","101131"
"1300507","K","999131"
"1300508","E","205109"
"1300509","K","639088"
"1300510","Z","308977"
"1300511","Z","822560"
