"","gta.series","gta.number"
"1200001","K","010872"
"1200002","E","427046"
"1200003","K","673430"
"1200004","Z","541200"
"1200005","K","661070"
"1200006","E","804278"
"1200007","E","881664"
"1200008","Z","057868"
"1200009","E","010688"
"1200010","E","321637"
"1200011","E","431988"
"1200012","J","251260"
"1200013","Z","992042"
"1200014","E","994968"
"1200015","Z","168566"
"1200016","E","850084"
"1200017","E","102824"
"1200018","K","190702"
"1200019","E","556942"
"1200020","E","465615"
"1200021","K","958415"
"1200022","E","191093"
"1200023","E","586421"
"1200024","J","901350"
"1200025","K","257402"
"1200026","J","715328"
"1200027","E","503332"
"1200028","K","116074"
"1200029","K","066869"
"1200030","J","541905"
"1200031","K","388824"
"1200032","K","069404"
"1200033","J","518548"
"1200034","K","871612"
"1200035","E","218516"
"1200036","K","385814"
"1200037","J","921019"
"1200038","Z","173439"
"1200039","K","921015"
"1200040","E","284096"
"1200041","K","938503"
"1200042","K","317978"
"1200043","E","093463"
"1200044","Z","355751"
"1200045","E","311874"
"1200046","E","332936"
"1200047","J","847817"
"1200048","K","695346"
"1200049","Z","379719"
"1200050","E","094964"
"1200051","Z","588160"
"1200052","J","917664"
"1200053","Z","414438"
"1200054","J","201129"
"1200055","K","153855"
"1200056","J","557682"
"1200057","E","829063"
"1200058","Z","477361"
"1200059","E","475887"
"1200060","E","354769"
"1200061","E","063932"
"1200062","E","505973"
"1200063","K","199070"
"1200064","E","856977"
"1200065","K","641871"
"1200066","K","371796"
"1200067","K","156496"
"1200068","J","558281"
"1200069","Z","891378"
"1200070","K","926263"
"1200071","J","069227"
"1200072","E","057292"
"1200073","E","128439"
"1200074","J","424546"
"1200075","K","982236"
"1200076","E","443351"
"1200077","K","306195"
"1200078","Z","819727"
"1200079","Z","987119"
"1200080","K","867463"
"1200081","K","378217"
"1200082","E","007013"
"1200083","J","642263"
"1200084","K","363474"
"1200085","K","849066"
"1200086","E","621000"
"1200087","J","603437"
"1200088","J","141420"
"1200089","J","263849"
"1200090","Z","217833"
"1200091","J","624308"
"1200092","K","139253"
"1200093","J","295227"
"1200094","K","195505"
"1200095","E","362175"
"1200096","K","780792"
"1200097","J","078862"
"1200098","Z","763994"
"1200099","Z","166444"
"1200100","E","819220"
"1200101","K","387895"
"1200102","J","519653"
"1200103","K","322894"
"1200104","E","247623"
"1200105","K","213650"
"1200106","K","367392"
"1200107","E","232975"
"1200108","Z","642418"
"1200109","K","558887"
"1200110","J","343839"
"1200111","Z","927755"
"1200112","J","889803"
"1200113","E","579538"
"1200114","Z","345716"
"1200115","E","331995"
"1200116","Z","618641"
"1200117","Z","802527"
"1200118","J","918968"
"1200119","Z","982048"
