"","gta.series","gta.number"
"1600001","K","752136"
"1600002","E","786592"
"1600003","K","793204"
"1600004","Z","894031"
"1600005","K","542078"
"1600006","E","769719"
"1600007","J","068032"
"1600008","Z","795154"
"1600009","J","429380"
"1600010","J","870998"
"1600011","J","697095"
"1600012","Z","136880"
"1600013","J","528893"
"1600014","Z","466696"
"1600015","J","210283"
"1600016","K","716731"
"1600017","K","882977"
"1600018","J","173671"
"1600019","J","505805"
"1600020","K","877474"
"1600021","K","274332"
"1600022","J","947271"
"1600023","E","634067"
"1600024","Z","779899"
"1600025","Z","018409"
"1600026","E","562797"
"1600027","Z","617168"
"1600028","K","931882"
"1600029","Z","384278"
"1600030","K","917470"
"1600031","Z","628219"
"1600032","J","820506"
"1600033","J","687303"
"1600034","K","147417"
"1600035","J","586860"
"1600036","E","749525"
"1600037","K","821964"
"1600038","J","529485"
"1600039","Z","321781"
"1600040","Z","527019"
"1600041","Z","365544"
"1600042","J","720202"
"1600043","J","207305"
"1600044","J","925603"
"1600045","Z","950959"
"1600046","K","954641"
"1600047","K","265667"
"1600048","E","977029"
"1600049","J","876177"
"1600050","K","614528"
"1600051","J","271792"
"1600052","J","088461"
"1600053","E","712853"
"1600054","J","728140"
"1600055","K","887642"
"1600056","Z","499889"
"1600057","J","474457"
"1600058","E","785632"
"1600059","E","835650"
"1600060","J","236690"
"1600061","Z","242343"
"1600062","K","072111"
"1600063","E","696753"
"1600064","K","778977"
"1600065","K","915308"
"1600066","K","064422"
"1600067","J","301961"
"1600068","E","519755"
"1600069","J","505402"
"1600070","K","027684"
"1600071","K","549015"
"1600072","Z","722600"
"1600073","K","769521"
"1600074","Z","826409"
"1600075","K","904464"
"1600076","K","084854"
"1600077","K","183194"
"1600078","J","619150"
"1600079","J","817879"
"1600080","Z","801183"
"1600081","K","137759"
"1600082","Z","578851"
"1600083","E","785641"
"1600084","J","349482"
"1600085","J","141804"
"1600086","E","271283"
"1600087","Z","634816"
"1600088","K","209783"
"1600089","E","114075"
"1600090","K","605494"
"1600091","K","970210"
"1600092","J","273463"
"1600093","Z","233978"
"1600094","J","873108"
"1600095","E","299863"
"1600096","E","926071"
"1600097","K","994065"
"1600098","Z","937195"
"1600099","K","131717"
"1600100","K","940149"
"1600101","J","155651"
"1600102","Z","407915"
"1600103","Z","341350"
"1600104","J","357592"
"1600105","Z","670632"
"1600106","Z","893102"
