"","gta.series","gta.number"
"700001","J","453631"
"700002","K","551976"
"700003","J","749467"
"700004","K","824557"
"700005","K","310183"
"700006","E","062388"
"700007","Z","765443"
"700008","E","157565"
"700009","J","786183"
"700010","E","463704"
"700011","Z","625555"
"700012","K","971333"
"700013","K","082740"
"700014","K","312530"
"700015","E","645783"
"700016","E","440258"
"700017","Z","598415"
"700018","Z","733808"
"700019","J","184420"
"700020","E","284342"
"700021","Z","789258"
"700022","K","758248"
"700023","K","903501"
"700024","K","785186"
"700025","K","886357"
"700026","K","917417"
"700027","E","141007"
"700028","Z","987251"
"700029","J","108999"
"700030","J","249109"
"700031","E","285875"
"700032","J","623199"
"700033","Z","332591"
"700034","E","685012"
"700035","E","449402"
"700036","K","441850"
"700037","J","738701"
"700038","E","694255"
"700039","K","693071"
"700040","J","551164"
"700041","Z","929584"
"700042","J","117035"
"700043","J","209397"
"700044","Z","223904"
"700045","J","624956"
"700046","E","927341"
"700047","K","944282"
"700048","J","519228"
"700049","J","738976"
"700050","K","766083"
"700051","Z","543403"
"700052","J","922381"
"700053","J","534772"
"700054","E","314700"
"700055","E","517868"
"700056","K","945913"
"700057","K","832688"
"700058","E","161242"
"700059","K","709195"
"700060","K","892154"
"700061","J","509637"
"700062","E","852981"
"700063","E","694966"
"700064","K","976402"
"700065","Z","849308"
"700066","K","773675"
"700067","K","825141"
"700068","K","931743"
"700069","Z","512412"
"700070","J","598101"
"700071","Z","384085"
"700072","J","341274"
"700073","J","868656"
"700074","E","393592"
"700075","E","805124"
"700076","J","440011"
"700077","K","197134"
"700078","K","003791"
"700079","J","300621"
"700080","K","841292"
"700081","K","800550"
"700082","J","608223"
"700083","K","783966"
"700084","E","671320"
"700085","Z","446785"
"700086","E","113234"
"700087","K","310674"
"700088","Z","633025"
"700089","J","094687"
"700090","K","283167"
"700091","Z","630444"
"700092","E","988103"
"700093","J","545493"
"700094","E","279933"
"700095","Z","633318"
"700096","E","599763"
"700097","E","066384"
"700098","K","232237"
"700099","K","636923"
"700100","E","547025"
"700101","E","628309"
"700102","K","621056"
"700103","E","946417"
"700104","Z","401291"
"700105","Z","382644"
"700106","J","952737"
"700107","K","854164"
"700108","K","987967"
"700109","E","957760"
"700110","J","770389"
"700111","Z","258599"
"700112","K","071806"
"700113","Z","882704"
"700114","E","308089"
"700115","Z","092277"
"700116","Z","530619"
"700117","K","970858"
"700118","Z","171430"
"700119","K","138531"
"700120","Z","781498"
"700121","K","738822"
"700122","E","706534"
"700123","J","676496"
"700124","Z","315721"
"700125","Z","117383"
"700126","Z","935333"
"700127","J","535674"
"700128","K","360565"
"700129","K","211629"
"700130","J","508231"
"700131","J","483156"
"700132","K","544484"
"700133","E","259418"
"700134","E","049116"
"700135","K","902538"
"700136","E","890871"
"700137","J","214898"
"700138","J","071843"
"700139","K","046100"
"700140","K","693192"
"700141","K","260355"
"700142","K","397332"
"700143","K","487810"
"700144","Z","119833"
"700145","K","274407"
"700146","Z","753669"
"700147","E","033416"
"700148","E","588279"
"700149","E","068642"
"700150","Z","952776"
"700151","E","198618"
"700152","K","284592"
"700153","E","610621"
"700154","E","163112"
"700155","K","323076"
"700156","K","135254"
"700157","E","517416"
"700158","E","241515"
"700159","K","657362"
"700160","K","755433"
"700161","E","808749"
"700162","E","517148"
"700163","J","516551"
"700164","K","743529"
"700165","K","045253"
"700166","E","590834"
"700167","K","874592"
"700168","J","301355"
"700169","K","885814"
"700170","K","831218"
"700171","K","450678"
"700172","K","732828"
"700173","K","048123"
"700174","Z","106015"
"700175","Z","159305"
"700176","J","302836"
"700177","Z","310941"
"700178","E","928792"
"700179","J","319794"
"700180","K","736953"
