"","gta.series","gta.number"
"800001","K","940230"
"800002","J","214840"
"800003","J","454120"
"800004","Z","588891"
"800005","E","893034"
"800006","K","788143"
"800007","K","845068"
"800008","J","005623"
"800009","K","143392"
"800010","Z","428317"
"800011","J","575162"
"800012","J","680832"
"800013","K","604833"
"800014","K","322300"
"800015","J","941241"
"800016","J","489449"
"800017","K","569335"
"800018","J","803999"
"800019","J","068110"
"800020","K","819998"
"800021","Z","976048"
"800022","J","158254"
"800023","Z","735092"
"800024","E","839798"
"800025","K","951415"
"800026","E","341481"
"800027","J","069754"
"800028","K","932377"
"800029","E","107700"
"800030","K","932604"
"800031","J","838313"
"800032","K","470703"
"800033","K","247059"
"800034","J","505967"
"800035","K","102809"
"800036","Z","813656"
"800037","E","552490"
"800038","K","172456"
"800039","J","521496"
"800040","Z","367681"
"800041","J","016933"
"800042","K","945974"
"800043","E","258395"
"800044","E","962369"
"800045","J","781850"
"800046","K","418567"
"800047","Z","534615"
"800048","E","514011"
"800049","E","214190"
"800050","K","882219"
"800051","K","228964"
"800052","J","107056"
"800053","Z","346139"
"800054","E","107956"
"800055","Z","956877"
"800056","K","582490"
"800057","E","209499"
"800058","K","332782"
"800059","E","448626"
"800060","J","516831"
"800061","J","257097"
"800062","E","261092"
"800063","E","775915"
"800064","E","203438"
"800065","J","462448"
"800066","Z","232533"
"800067","K","488222"
"800068","K","208632"
"800069","Z","412379"
"800070","K","248885"
"800071","J","887098"
"800072","K","911045"
"800073","K","810091"
"800074","J","998025"
"800075","J","885925"
"800076","J","078631"
"800077","E","652106"
"800078","E","732726"
"800079","K","117588"
"800080","E","804862"
"800081","Z","272256"
"800082","Z","663172"
"800083","E","329820"
"800084","J","438277"
"800085","K","914803"
"800086","Z","092783"
"800087","J","459696"
"800088","J","271808"
"800089","J","989980"
"800090","K","013553"
"800091","J","144659"
"800092","J","631435"
"800093","Z","967408"
"800094","J","605077"
"800095","E","489739"
"800096","K","805474"
"800097","J","405231"
"800098","E","328836"
"800099","K","357588"
"800100","Z","082601"
"800101","E","407026"
"800102","E","564838"
"800103","Z","722712"
"800104","E","390068"
"800105","J","967830"
"800106","K","981131"
"800107","K","876561"
"800108","J","267251"
"800109","Z","782700"
"800110","K","034068"
"800111","Z","147494"
"800112","Z","869894"
"800113","E","300319"
"800114","J","472602"
"800115","J","154666"
"800116","E","114250"
"800117","E","650486"
"800118","Z","063481"
"800119","E","303396"
"800120","K","557690"
"800121","E","060102"
"800122","J","291659"
"800123","J","318775"
"800124","K","979174"
"800125","K","877194"
"800126","K","070878"
"800127","K","239955"
"800128","J","167816"
"800129","K","658807"
"800130","J","588100"
"800131","Z","469814"
"800132","Z","776585"
"800133","K","915195"
"800134","E","488089"
"800135","Z","965890"
"800136","E","277820"
"800137","K","288768"
"800138","E","469718"
"800139","E","087647"
"800140","J","485536"
"800141","K","856153"
"800142","K","098099"
"800143","E","233120"
"800144","J","430455"
"800145","J","961064"
"800146","Z","199392"
"800147","K","409799"
"800148","Z","735286"
"800149","K","703350"
"800150","E","496804"
"800151","J","616100"
"800152","Z","898903"
"800153","J","742963"
"800154","K","916068"
"800155","K","094963"
"800156","E","300556"
"800157","E","177073"
"800158","K","618910"
"800159","K","917490"
"800160","K","118971"
"800161","E","107517"
"800162","K","163205"
"800163","J","698046"
"800164","Z","450369"
"800165","Z","094383"
"800166","K","064140"
"800167","K","336330"
"800168","E","011884"
"800169","K","033544"
"800170","K","395873"
"800171","K","121353"
"800172","E","223343"
"800173","K","649599"
"800174","E","194584"
"800175","K","916963"
"800176","J","203813"
"800177","K","839474"
"800178","Z","107751"
"800179","Z","122837"
"800180","E","454602"
"800181","J","995357"
"800182","E","248335"
"800183","J","052774"
"800184","J","320607"
"800185","E","352808"
"800186","K","947454"
"800187","E","284524"
"800188","J","425942"
"800189","K","714387"
"800190","Z","144391"
"800191","K","125529"
"800192","J","870908"
"800193","E","156658"
"800194","K","936452"
"800195","E","429844"
"800196","Z","394516"
"800197","E","898755"
"800198","Z","946773"
"800199","J","480278"
"800200","E","234865"
"800201","K","324768"
"800202","K","108331"
"800203","Z","170884"
"800204","E","285364"
"800205","Z","322349"
"800206","E","174779"
"800207","K","136072"
"800208","K","618139"
"800209","J","200513"
"800210","K","933329"
"800211","K","809200"
"800212","J","725705"
"800213","K","393353"
"800214","K","268770"
"800215","E","849574"
