"","gta.series","gta.number"
"1","K","851933"
"2","K","058728"
"3","E","747391"
"4","Z","334026"
"5","K","609900"
"6","K","372287"
"7","E","016436"
"8","E","002246"
"9","K","414413"
"10","J","164302"
"11","K","409022"
"12","K","969901"
"13","Z","775557"
"14","K","785935"
"15","J","022502"
"16","K","725325"
"17","J","341617"
"18","J","002461"
"19","J","999894"
"20","Z","718456"
"21","Z","216379"
"22","K","672545"
"23","K","960194"
"24","Z","611298"
"25","E","092730"
"26","K","209649"
"27","K","437675"
"28","K","925284"
"29","J","711412"
"30","K","235398"
"31","J","523854"
"32","J","592103"
"33","J","799261"
"34","Z","803415"
"35","K","810489"
"36","K","642088"
"37","J","552272"
"38","J","441558"
"39","Z","867328"
"40","Z","580902"
"41","E","099229"
"42","K","381735"
"43","E","095884"
"44","K","052417"
"45","K","794316"
"46","K","994294"
"47","Z","290516"
"48","J","910406"
"49","J","632507"
"50","K","701350"
"51","J","469482"
"52","K","876185"
"53","E","191574"
"54","E","460418"
"55","Z","562828"
"56","E","856521"
"57","K","840871"
"58","Z","972469"
"59","Z","372873"
"60","Z","008073"
"61","E","323559"
"62","E","467173"
"63","Z","273760"
"64","J","144331"
"65","J","962318"
"66","K","944631"
"67","Z","948529"
"68","J","473193"
"69","J","417799"
"70","Z","240618"
"71","E","046218"
"72","J","239719"
"73","J","544202"
"74","J","607654"
"75","E","837197"
"76","K","114452"
"77","E","887564"
"78","K","207858"
"79","E","513392"
"80","E","779602"
"81","Z","323159"
"82","E","151093"
"83","K","138035"
"84","Z","976432"
"85","K","571852"
"86","Z","048196"
"87","E","305885"
"88","E","720012"
"89","K","434142"
"90","K","928893"
"91","E","311631"
"92","Z","155365"
"93","K","958804"
"94","E","401707"
"95","Z","798173"
"96","E","547908"
"97","K","016702"
"98","K","066446"
"99","J","625465"
"100","K","946813"
"101","E","533508"
"102","J","060014"
"103","Z","418989"
"104","K","905248"
"105","Z","721664"
"106","Z","811328"
"107","Z","457573"
"108","J","262342"
"109","J","866435"
"110","J","967446"
"111","J","098207"
"112","K","013245"
"113","Z","915362"
"114","J","343696"
"115","E","878427"
"116","J","946431"
"117","E","154439"
"118","Z","881131"
"119","K","968195"
"120","Z","239317"
"121","J","368633"
"122","K","886020"
"123","E","045192"
"124","E","883623"
"125","Z","644682"
"126","Z","883421"
"127","J","440508"
"128","K","123607"
"129","J","475876"
"130","J","332545"
"131","Z","588957"
"132","J","174231"
"133","K","130449"
"134","J","607064"
"135","Z","363131"
"136","E","370852"
"137","Z","335927"
"138","K","978807"
"139","J","166820"
"140","K","579493"
"141","Z","203129"
"142","Z","750260"
