"","gta.series","gta.number"
"1500001","K","969007"
"1500002","E","348578"
"1500003","K","539597"
"1500004","K","183548"
"1500005","Z","148438"
"1500006","K","606843"
"1500007","J","584561"
"1500008","Z","096497"
"1500009","E","149712"
"1500010","E","277287"
"1500011","E","951051"
"1500012","Z","679420"
"1500013","K","241966"
"1500014","K","279435"
"1500015","J","841137"
"1500016","E","200646"
"1500017","K","948228"
"1500018","E","153858"
"1500019","E","990792"
"1500020","Z","392639"
"1500021","J","073000"
"1500022","K","649785"
"1500023","J","654459"
"1500024","K","226339"
"1500025","E","331590"
"1500026","J","791823"
"1500027","J","902366"
"1500028","J","228914"
"1500029","E","485348"
"1500030","Z","332398"
"1500031","E","547003"
"1500032","J","445300"
"1500033","J","374777"
"1500034","K","853101"
"1500035","J","445933"
"1500036","J","731868"
"1500037","E","465076"
"1500038","E","245754"
"1500039","E","965384"
"1500040","J","564314"
"1500041","E","671759"
"1500042","J","887483"
"1500043","K","475778"
"1500044","K","364935"
"1500045","Z","678992"
"1500046","Z","801888"
"1500047","K","970041"
"1500048","J","915826"
"1500049","E","188878"
"1500050","Z","050892"
"1500051","J","602873"
"1500052","J","467589"
"1500053","J","725968"
"1500054","J","629681"
"1500055","K","640164"
"1500056","K","870631"
"1500057","J","549384"
"1500058","J","393322"
"1500059","K","157255"
"1500060","K","658364"
"1500061","E","826061"
"1500062","J","884743"
"1500063","Z","692380"
"1500064","K","663899"
"1500065","E","150950"
"1500066","E","628459"
"1500067","K","375799"
"1500068","E","935388"
"1500069","Z","481023"
"1500070","E","548387"
"1500071","K","834609"
"1500072","J","604114"
"1500073","E","662060"
"1500074","E","706971"
"1500075","J","563433"
"1500076","Z","287801"
"1500077","K","201628"
"1500078","K","471948"
"1500079","J","568537"
"1500080","E","455731"
"1500081","E","151949"
"1500082","K","048059"
"1500083","Z","147488"
"1500084","K","975808"
"1500085","K","897480"
"1500086","Z","464240"
"1500087","J","474191"
"1500088","Z","346015"
"1500089","E","589633"
"1500090","K","785769"
"1500091","J","421530"
"1500092","Z","012283"
"1500093","K","844553"
"1500094","E","143708"
"1500095","E","521480"
"1500096","Z","844119"
"1500097","J","049081"
"1500098","J","425585"
"1500099","E","547642"
"1500100","K","735333"
"1500101","Z","006695"
"1500102","J","971776"
"1500103","Z","576945"
"1500104","E","133137"
"1500105","J","369663"
"1500106","Z","346761"
"1500107","J","164852"
"1500108","K","447676"
"1500109","E","748031"
"1500110","E","964007"
"1500111","Z","182663"
"1500112","E","508697"
"1500113","K","226481"
"1500114","J","431963"
"1500115","K","385453"
"1500116","K","319135"
"1500117","J","060699"
"1500118","K","434098"
"1500119","E","061471"
"1500120","Z","272336"
"1500121","J","597422"
"1500122","Z","804657"
"1500123","E","871707"
"1500124","E","882324"
"1500125","K","985778"
"1500126","E","658014"
"1500127","E","483161"
"1500128","E","384105"
"1500129","K","903608"
"1500130","E","071312"
"1500131","K","043193"
"1500132","E","342643"
"1500133","E","320941"
"1500134","Z","556209"
"1500135","K","569716"
"1500136","K","325151"
"1500137","E","545893"
"1500138","E","975690"
"1500139","E","167740"
"1500140","J","017481"
"1500141","E","521510"
"1500142","Z","147707"
"1500143","E","635910"
"1500144","Z","764751"
"1500145","J","461369"
"1500146","E","816340"
"1500147","J","283812"
"1500148","Z","448868"
"1500149","E","201938"
"1500150","K","236748"
"1500151","J","526291"
"1500152","J","444655"
"1500153","K","034339"
"1500154","Z","714863"
"1500155","E","179607"
"1500156","K","136356"
"1500157","E","301499"
"1500158","J","520531"
"1500159","K","536911"
"1500160","E","692230"
"1500161","J","319590"
"1500162","E","116850"
"1500163","J","053852"
"1500164","K","004828"
"1500165","K","164024"
"1500166","K","915950"
"1500167","Z","358955"
"1500168","Z","061665"
"1500169","K","461714"
"1500170","J","885912"
"1500171","E","543973"
"1500172","Z","733693"
"1500173","Z","397479"
"1500174","K","951847"
"1500175","Z","900281"
"1500176","J","536013"
"1500177","J","244105"
"1500178","J","534468"
"1500179","K","028344"
"1500180","Z","542608"
"1500181","E","184503"
"1500182","J","397999"
"1500183","Z","014722"
"1500184","K","389411"
"1500185","Z","414037"
"1500186","K","486255"
"1500187","E","772534"
"1500188","E","896793"
"1500189","J","691701"
"1500190","E","330472"
"1500191","K","222475"
"1500192","K","107103"
"1500193","E","790394"
"1500194","K","575565"
"1500195","E","584194"
"1500196","Z","236014"
"1500197","Z","565033"
"1500198","E","715433"
"1500199","J","037583"
"1500200","Z","545470"
"1500201","J","167858"
"1500202","J","487883"
"1500203","J","108240"
"1500204","K","888767"
"1500205","K","070888"
"1500206","Z","212617"
"1500207","Z","541126"
"1500208","K","924222"
"1500209","J","435051"
"1500210","Z","129560"
"1500211","E","279189"
"1500212","Z","324919"
"1500213","J","238661"
"1500214","J","945176"
"1500215","K","961378"
"1500216","J","029413"
"1500217","K","532335"
"1500218","J","158796"
"1500219","E","240679"
"1500220","Z","712812"
"1500221","K","765322"
"1500222","Z","719203"
"1500223","Z","782076"
"1500224","K","804150"
"1500225","Z","564097"
"1500226","E","408079"
"1500227","K","520015"
"1500228","E","041661"
"1500229","E","241409"
"1500230","Z","212948"
"1500231","Z","148465"
"1500232","Z","213302"
"1500233","K","353016"
"1500234","K","295858"
"1500235","K","585231"
"1500236","Z","246081"
"1500237","K","646813"
"1500238","Z","753585"
"1500239","Z","200541"
"1500240","E","468791"
