"","gta.series","gta.number"
"1100001","K","015909"
"1100002","Z","935079"
"1100003","J","388584"
"1100004","E","376052"
"1100005","Z","918379"
"1100006","K","869367"
"1100007","K","912027"
"1100008","E","021834"
"1100009","K","603211"
"1100010","K","315769"
"1100011","E","314669"
"1100012","K","401133"
"1100013","K","921305"
"1100014","K","847392"
"1100015","E","649533"
"1100016","Z","317483"
"1100017","J","579074"
"1100018","E","120677"
"1100019","J","829137"
"1100020","E","239515"
"1100021","E","634163"
"1100022","E","790083"
"1100023","J","640824"
"1100024","E","676124"
"1100025","K","384261"
"1100026","Z","814019"
"1100027","J","951765"
"1100028","K","566391"
"1100029","Z","078449"
"1100030","J","092889"
"1100031","J","376483"
"1100032","J","313081"
"1100033","E","043379"
"1100034","Z","311998"
"1100035","J","412721"
"1100036","J","737118"
"1100037","E","893590"
"1100038","K","820219"
"1100039","E","441923"
"1100040","E","948513"
"1100041","E","067454"
"1100042","Z","801913"
"1100043","K","156143"
"1100044","J","108080"
"1100045","E","226062"
"1100046","K","701819"
"1100047","Z","336923"
"1100048","E","402058"
"1100049","Z","010730"
"1100050","K","170596"
"1100051","E","703726"
"1100052","Z","794274"
"1100053","K","965304"
"1100054","K","214457"
"1100055","J","938537"
"1100056","E","843925"
"1100057","K","559897"
"1100058","J","395103"
"1100059","Z","086867"
"1100060","J","248225"
"1100061","K","685293"
"1100062","Z","217623"
"1100063","E","809957"
"1100064","K","272139"
"1100065","J","327351"
"1100066","E","078248"
"1100067","Z","892874"
"1100068","E","224756"
"1100069","K","548214"
"1100070","J","169848"
"1100071","K","988792"
"1100072","K","949910"
"1100073","Z","700206"
"1100074","E","117622"
"1100075","K","101157"
"1100076","J","986165"
"1100077","J","227576"
"1100078","K","869247"
"1100079","J","017874"
"1100080","E","621680"
"1100081","K","475562"
"1100082","K","621855"
"1100083","K","148985"
"1100084","E","598731"
"1100085","Z","358936"
"1100086","Z","002564"
"1100087","J","657764"
"1100088","J","573521"
"1100089","Z","310753"
"1100090","J","355273"
"1100091","K","158667"
"1100092","J","497027"
"1100093","E","421759"
"1100094","J","104214"
"1100095","E","973944"
"1100096","Z","199961"
"1100097","E","950193"
"1100098","Z","318699"
"1100099","J","232658"
"1100100","K","682698"
"1100101","E","160699"
"1100102","E","019437"
"1100103","K","697804"
"1100104","Z","093567"
"1100105","E","433707"
"1100106","E","496568"
"1100107","Z","032075"
"1100108","K","944157"
"1100109","J","669601"
"1100110","J","087882"
"1100111","K","450846"
"1100112","Z","775121"
"1100113","Z","243362"
"1100114","J","025090"
"1100115","Z","642454"
"1100116","J","509375"
"1100117","J","512256"
"1100118","Z","739042"
"1100119","J","727118"
"1100120","E","440390"
"1100121","K","947776"
"1100122","E","697991"
"1100123","K","006085"
"1100124","Z","647073"
"1100125","K","997184"
"1100126","E","044233"
"1100127","Z","737648"
"1100128","E","545451"
"1100129","E","267530"
"1100130","E","956775"
"1100131","J","512019"
"1100132","K","888206"
"1100133","K","605654"
"1100134","E","815683"
"1100135","K","810284"
"1100136","J","733181"
"1100137","K","991764"
"1100138","J","409672"
"1100139","J","335375"
"1100140","Z","360256"
"1100141","Z","125764"
"1100142","E","723062"
"1100143","J","516620"
"1100144","E","235221"
"1100145","J","523410"
"1100146","K","973220"
"1100147","E","265345"
"1100148","J","982164"
"1100149","K","588450"
"1100150","Z","454692"
"1100151","E","103621"
"1100152","J","135573"
"1100153","J","531161"
"1100154","K","260590"
"1100155","J","217285"
"1100156","Z","983601"
"1100157","Z","604549"
"1100158","K","137085"
"1100159","J","058381"
"1100160","K","966161"
"1100161","J","441288"
"1100162","J","942519"
"1100163","E","076543"
"1100164","Z","976895"
"1100165","K","979261"
"1100166","J","413584"
"1100167","Z","219249"
"1100168","E","412362"
"1100169","E","574792"
"1100170","J","013054"
"1100171","J","144290"
"1100172","K","278780"
"1100173","K","060445"
"1100174","J","893316"
"1100175","E","828337"
"1100176","J","646656"
"1100177","K","931870"
"1100178","K","198980"
"1100179","E","027374"
"1100180","Z","440926"
"1100181","K","319673"
"1100182","K","952676"
"1100183","E","471110"
"1100184","Z","282619"
"1100185","K","178316"
"1100186","K","322051"
"1100187","K","700732"
"1100188","K","152555"
"1100189","K","906975"
"1100190","K","912775"
"1100191","J","067016"
"1100192","K","504292"
"1100193","J","368843"
"1100194","K","526602"
"1100195","K","105216"
"1100196","E","884509"
"1100197","E","601632"
"1100198","J","688512"
"1100199","K","511705"
"1100200","E","206807"
"1100201","K","415247"
"1100202","Z","112504"
"1100203","Z","269159"
"1100204","K","897394"
"1100205","E","417241"
"1100206","J","632326"
"1100207","J","856675"
"1100208","J","719001"
"1100209","K","172183"
"1100210","K","307124"
"1100211","Z","803603"
"1100212","E","463467"
"1100213","Z","329156"
"1100214","E","622655"
"1100215","K","038567"
"1100216","E","323807"
"1100217","Z","392358"
"1100218","K","323386"
"1100219","Z","706802"
"1100220","J","054199"
"1100221","E","452496"
"1100222","J","077032"
"1100223","E","090253"
"1100224","K","976308"
"1100225","E","490412"
"1100226","J","066117"
"1100227","Z","420489"
"1100228","E","332050"
"1100229","K","203080"
"1100230","E","757167"
"1100231","J","978242"
"1100232","E","203557"
"1100233","K","769809"
"1100234","Z","065665"
"1100235","J","627146"
"1100236","E","412716"
"1100237","E","703592"
"1100238","Z","258033"
"1100239","K","522550"
"1100240","K","876150"
"1100241","K","351967"
"1100242","J","498491"
"1100243","Z","196999"
"1100244","E","805413"
"1100245","J","412817"
"1100246","K","602924"
"1100247","J","156099"
"1100248","E","279854"
"1100249","E","453672"
"1100250","E","550886"
"1100251","K","924959"
"1100252","K","501210"
"1100253","K","961464"
"1100254","Z","016160"
"1100255","Z","535822"
"1100256","K","977737"
"1100257","J","136295"
"1100258","E","801898"
"1100259","E","548024"
"1100260","J","986281"
"1100261","J","670569"
"1100262","K","923679"
"1100263","Z","841427"
"1100264","E","492788"
"1100265","Z","735335"
"1100266","E","419057"
"1100267","E","176022"
"1100268","Z","815275"
"1100269","J","844235"
"1100270","Z","301498"
"1100271","Z","598807"
"1100272","K","760751"
"1100273","E","633870"
"1100274","Z","726813"
"1100275","E","070435"
"1100276","E","205981"
"1100277","K","950298"
"1100278","J","947472"
"1100279","Z","269757"
"1100280","E","510676"
"1100281","E","601890"
"1100282","J","535463"
"1100283","E","350829"
"1100284","K","826829"
"1100285","J","162843"
"1100286","J","930484"
"1100287","J","110574"
"1100288","J","342148"
"1100289","Z","220426"
"1100290","K","071409"
"1100291","K","944333"
"1100292","Z","131662"
"1100293","K","596340"
"1100294","Z","974275"
"1100295","K","926759"
"1100296","K","940011"
"1100297","K","293485"
"1100298","K","989096"
"1100299","J","525618"
"1100300","J","247129"
"1100301","K","368846"
"1100302","E","807024"
"1100303","E","592787"
"1100304","E","176317"
"1100305","Z","171690"
"1100306","Z","369760"
"1100307","K","076871"
"1100308","J","811503"
"1100309","K","562084"
"1100310","E","749173"
"1100311","Z","710550"
"1100312","K","947165"
"1100313","E","609568"
"1100314","K","379563"
"1100315","J","017243"
"1100316","E","198852"
"1100317","E","300373"
"1100318","E","870336"
"1100319","J","619028"
"1100320","E","576884"
"1100321","J","869884"
"1100322","E","553317"
"1100323","J","961484"
"1100324","J","202774"
"1100325","Z","389990"
"1100326","E","662048"
"1100327","E","040987"
"1100328","Z","643094"
"1100329","Z","721844"
"1100330","J","783400"
"1100331","J","708744"
"1100332","J","041489"
"1100333","J","891693"
"1100334","E","229764"
"1100335","J","805238"
"1100336","K","073583"
"1100337","E","422406"
"1100338","J","510916"
"1100339","J","562957"
"1100340","J","840250"
"1100341","J","375937"
"1100342","Z","294775"
"1100343","E","353815"
"1100344","Z","254015"
"1100345","K","072799"
"1100346","J","652494"
"1100347","Z","996762"
"1100348","E","645473"
"1100349","E","218656"
"1100350","K","520686"
"1100351","J","392632"
"1100352","K","024967"
"1100353","Z","035951"
"1100354","K","657089"
"1100355","K","832632"
"1100356","K","038793"
"1100357","E","278876"
"1100358","E","238930"
"1100359","E","455305"
"1100360","K","721795"
"1100361","K","562421"
"1100362","Z","993211"
"1100363","E","633236"
"1100364","K","721187"
"1100365","E","477795"
"1100366","Z","449201"
"1100367","Z","158929"
"1100368","K","859952"
"1100369","Z","699034"
"1100370","E","179090"
"1100371","E","438580"
"1100372","Z","569943"
"1100373","J","904827"
"1100374","J","950984"
"1100375","E","422496"
"1100376","K","754563"
"1100377","E","921112"
