"","gta.series","gta.number"
"500001","K","280758"
"500002","K","912882"
"500003","J","170612"
"500004","K","867415"
"500005","J","272579"
"500006","K","519709"
"500007","K","796989"
"500008","E","127440"
"500009","Z","053330"
"500010","J","913010"
"500011","Z","554233"
"500012","Z","487462"
"500013","Z","894424"
"500014","E","558406"
"500015","J","387625"
"500016","J","254970"
"500017","K","255208"
"500018","K","511103"
"500019","K","946837"
"500020","K","904734"
"500021","K","194070"
"500022","K","607860"
"500023","E","523863"
"500024","J","649119"
"500025","Z","341274"
"500026","K","673028"
"500027","J","822849"
"500028","J","817038"
"500029","K","953213"
"500030","E","543227"
"500031","Z","141825"
"500032","J","093610"
"500033","K","387970"
"500034","E","522734"
"500035","E","594651"
"500036","J","132086"
"500037","E","149114"
"500038","E","682509"
"500039","K","930542"
"500040","Z","879829"
"500041","J","825617"
"500042","J","780738"
"500043","E","693343"
"500044","Z","309333"
"500045","J","959206"
"500046","Z","222102"
"500047","E","430384"
"500048","Z","136815"
"500049","J","283667"
"500050","J","247219"
"500051","K","939361"
"500052","Z","083697"
"500053","J","815652"
"500054","J","100617"
"500055","Z","649689"
"500056","K","556310"
"500057","Z","335145"
"500058","E","339259"
"500059","K","229517"
"500060","Z","455180"
"500061","K","586093"
"500062","J","245523"
"500063","E","742793"
"500064","J","815058"
"500065","E","001044"
"500066","Z","333973"
"500067","E","499094"
"500068","J","573822"
"500069","Z","377643"
"500070","Z","481030"
"500071","K","872212"
"500072","J","839587"
"500073","J","970876"
"500074","K","064404"
"500075","K","187111"
"500076","Z","386275"
"500077","K","847810"
"500078","J","836103"
"500079","J","325065"
"500080","K","874895"
"500081","J","415035"
"500082","K","697976"
"500083","K","814819"
"500084","E","777561"
"500085","E","336169"
"500086","K","587288"
"500087","E","810400"
"500088","K","967439"
"500089","K","263883"
"500090","K","973590"
"500091","K","362833"
"500092","Z","810134"
"500093","Z","230101"
"500094","Z","012634"
"500095","Z","334608"
"500096","K","713677"
"500097","J","613536"
"500098","E","941033"
"500099","Z","366380"
"500100","K","353379"
"500101","Z","372474"
"500102","J","928733"
"500103","Z","802510"
"500104","E","200514"
"500105","J","578758"
"500106","K","998730"
"500107","K","097554"
"500108","Z","503606"
"500109","K","576413"
"500110","K","472796"
"500111","K","145998"
"500112","J","849980"
"500113","J","134813"
"500114","E","169315"
"500115","Z","545093"
"500116","K","005936"
"500117","E","123211"
