"","gta.series","gta.number"
"600001","J","449755"
"600002","K","168550"
"600003","K","078023"
"600004","J","602222"
"600005","J","296697"
"600006","Z","197230"
"600007","E","342340"
"600008","E","189390"
"600009","K","524039"
"600010","K","675293"
"600011","J","743208"
"600012","E","616554"
"600013","K","660940"
"600014","Z","473115"
"600015","J","574868"
"600016","K","387663"
"600017","J","149040"
"600018","E","001078"
"600019","E","692505"
"600020","J","225061"
"600021","J","625455"
"600022","K","931114"
"600023","J","079475"
"600024","J","102820"
"600025","K","036849"
"600026","K","500674"
"600027","J","780285"
"600028","J","861668"
"600029","J","291921"
"600030","E","860589"
"600031","Z","683365"
"600032","J","235320"
"600033","Z","797004"
"600034","K","121893"
"600035","E","162034"
"600036","E","229731"
"600037","Z","900143"
"600038","K","554865"
"600039","J","437465"
"600040","E","546021"
"600041","J","915086"
"600042","J","951017"
"600043","J","683373"
"600044","E","294005"
"600045","K","370864"
"600046","Z","232798"
"600047","Z","398583"
"600048","E","124464"
"600049","K","058223"
"600050","E","635069"
"600051","K","304598"
"600052","Z","811547"
"600053","J","240292"
"600054","J","684717"
"600055","Z","263999"
"600056","Z","974140"
"600057","K","234110"
"600058","Z","402082"
"600059","K","442059"
"600060","J","373580"
"600061","K","798333"
"600062","K","500549"
"600063","K","849549"
"600064","Z","849957"
"600065","E","064232"
"600066","Z","048542"
"600067","K","998484"
"600068","E","305069"
"600069","K","796177"
"600070","K","997870"
"600071","Z","296385"
"600072","E","179454"
"600073","K","598934"
"600074","K","794932"
"600075","K","649688"
"600076","E","248784"
"600077","Z","165671"
"600078","K","945173"
"600079","K","484294"
"600080","J","318494"
"600081","Z","997614"
"600082","J","238487"
"600083","Z","194245"
"600084","K","229622"
"600085","E","370999"
"600086","E","022228"
"600087","E","158736"
"600088","Z","388462"
"600089","K","393130"
"600090","J","010331"
"600091","K","805451"
"600092","E","590876"
"600093","J","465363"
"600094","J","327458"
"600095","K","499655"
"600096","J","841339"
"600097","Z","269230"
"600098","Z","916534"
"600099","Z","556195"
"600100","J","147213"
"600101","K","945185"
"600102","J","516462"
"600103","K","345942"
"600104","J","357799"
"600105","Z","067414"
"600106","E","504070"
"600107","K","599622"
"600108","K","635804"
"600109","Z","757103"
"600110","E","049971"
"600111","J","857303"
"600112","K","934363"
"600113","K","875197"
"600114","K","638581"
"600115","K","373634"
"600116","K","084775"
"600117","K","994279"
"600118","E","254117"
"600119","E","496512"
"600120","E","107815"
"600121","J","395106"
"600122","Z","718020"
"600123","J","101717"
"600124","E","873531"
"600125","E","480432"
"600126","K","478431"
"600127","K","700339"
"600128","J","838109"
"600129","J","985575"
"600130","J","859733"
"600131","J","666395"
"600132","Z","180814"
"600133","K","559721"
"600134","J","024750"
"600135","K","862951"
"600136","K","021532"
"600137","E","362995"
"600138","E","860713"
"600139","J","236735"
"600140","Z","350098"
"600141","K","296843"
"600142","E","550553"
"600143","J","150215"
"600144","K","067731"
"600145","E","649861"
"600146","E","299746"
"600147","J","892076"
"600148","J","389286"
"600149","E","873908"
"600150","J","909840"
"600151","E","284276"
"600152","J","624433"
"600153","K","804637"
"600154","K","373816"
"600155","K","044980"
"600156","E","683884"
"600157","Z","218645"
"600158","E","615294"
"600159","E","287328"
"600160","K","941370"
"600161","E","546751"
"600162","K","403956"
"600163","J","544239"
"600164","E","771288"
"600165","J","670431"
"600166","Z","920720"
"600167","J","993246"
"600168","E","949586"
"600169","J","310306"
"600170","K","402033"
"600171","E","525062"
"600172","J","094578"
"600173","J","041156"
"600174","E","854171"
"600175","K","980963"
"600176","J","809567"
"600177","J","043222"
"600178","E","290223"
"600179","E","256902"
"600180","K","785806"
"600181","Z","792865"
"600182","J","437448"
"600183","J","789114"
"600184","K","496934"
"600185","K","527690"
"600186","J","257781"
"600187","E","131758"
"600188","E","176051"
"600189","J","121522"
"600190","K","664961"
"600191","Z","127482"
"600192","E","233389"
"600193","E","475986"
"600194","K","245585"
"600195","K","309587"
"600196","K","492156"
"600197","J","151722"
"600198","J","532044"
"600199","K","433522"
"600200","J","663451"
"600201","Z","537123"
"600202","Z","865601"
"600203","J","534123"
"600204","E","233787"
"600205","E","849732"
"600206","J","334007"
"600207","J","586452"
"600208","Z","529236"
"600209","E","186148"
"600210","Z","925590"
"600211","K","446373"
"600212","Z","667072"
"600213","J","501132"
"600214","J","844339"
"600215","Z","305285"
"600216","K","885444"
"600217","K","390040"
"600218","J","698702"
"600219","Z","851933"
"600220","E","210430"
"600221","E","459150"
"600222","J","513763"
"600223","J","869944"
"600224","Z","706846"
"600225","J","432066"
"600226","K","999171"
"600227","Z","087638"
"600228","K","908226"
"600229","Z","592334"
"600230","Z","464820"
"600231","J","922837"
"600232","E","415172"
"600233","K","643580"
"600234","J","613527"
"600235","K","914529"
