"","gta.series","gta.number"
"300001","E","320396"
"300002","K","493308"
"300003","J","641845"
"300004","Z","830230"
"300005","J","918776"
"300006","E","631577"
"300007","J","277524"
"300008","K","662362"
"300009","K","822345"
"300010","K","123327"
"300011","J","743667"
"300012","K","154828"
"300013","K","880604"
"300014","Z","359817"
"300015","K","988975"
"300016","K","862692"
"300017","J","005505"
"300018","K","656195"
"300019","J","700478"
"300020","J","368583"
"300021","K","738226"
"300022","E","853306"
"300023","K","918226"
"300024","E","412485"
"300025","Z","669813"
"300026","Z","989846"
"300027","J","485165"
"300028","J","499376"
"300029","E","168207"
"300030","E","560153"
"300031","J","998569"
"300032","K","972880"
"300033","J","164828"
"300034","K","834331"
"300035","K","603417"
"300036","J","188635"
"300037","J","965582"
"300038","E","136270"
"300039","Z","143964"
"300040","K","796186"
"300041","E","174717"
"300042","J","936193"
"300043","J","501555"
"300044","J","262898"
"300045","K","446254"
"300046","E","197535"
"300047","K","096493"
"300048","J","514321"
"300049","K","004415"
"300050","Z","735992"
"300051","J","859165"
"300052","J","356312"
"300053","Z","820276"
"300054","E","514291"
"300055","E","809748"
"300056","K","878999"
"300057","K","017583"
"300058","J","729499"
"300059","Z","111209"
"300060","E","251405"
"300061","E","985541"
"300062","Z","938489"
"300063","J","177062"
"300064","Z","155127"
"300065","K","576167"
"300066","J","699070"
"300067","J","158134"
"300068","E","079350"
"300069","K","805282"
"300070","K","005234"
"300071","J","814683"
"300072","Z","981693"
"300073","E","940955"
"300074","J","114219"
"300075","K","976746"
"300076","E","810381"
"300077","Z","364097"
"300078","J","410378"
"300079","K","161961"
"300080","Z","361669"
"300081","E","105730"
"300082","K","923067"
"300083","J","834267"
"300084","K","413457"
"300085","E","170428"
"300086","J","839920"
"300087","J","573507"
"300088","K","900598"
"300089","K","901755"
"300090","E","781482"
"300091","K","366583"
"300092","J","001053"
"300093","Z","273647"
"300094","E","446141"
"300095","Z","085456"
"300096","K","615058"
"300097","J","901523"
"300098","K","368820"
"300099","J","842873"
"300100","Z","286426"
"300101","Z","827561"
"300102","K","953704"
"300103","K","598390"
"300104","K","103465"
"300105","E","046177"
"300106","Z","953936"
"300107","J","155128"
"300108","K","948051"
"300109","E","684267"
"300110","J","595345"
"300111","Z","992355"
"300112","K","744812"
"300113","E","579427"
"300114","Z","012570"
"300115","Z","907577"
"300116","J","706892"
"300117","E","199003"
"300118","J","686079"
"300119","J","335668"
"300120","E","496144"
"300121","J","268266"
"300122","E","391802"
"300123","Z","536357"
"300124","K","156025"
"300125","K","823611"
"300126","K","119541"
"300127","Z","373828"
"300128","E","704802"
"300129","E","720335"
"300130","Z","043617"
"300131","K","204023"
"300132","Z","214283"
"300133","E","937675"
"300134","J","817312"
"300135","K","413783"
"300136","E","840890"
"300137","K","830566"
"300138","E","943385"
"300139","Z","875772"
"300140","Z","354355"
"300141","K","660870"
"300142","J","630180"
"300143","E","754579"
"300144","Z","472076"
"300145","Z","512679"
"300146","Z","786021"
"300147","J","134706"
"300148","K","905286"
"300149","Z","031999"
"300150","J","218891"
"300151","J","034824"
"300152","Z","556002"
"300153","E","528116"
"300154","J","348031"
"300155","J","669439"
"300156","E","079881"
"300157","K","028578"
"300158","K","939138"
"300159","J","150370"
"300160","K","298466"
"300161","K","749416"
"300162","K","318946"
"300163","J","494247"
"300164","Z","932093"
"300165","J","855114"
"300166","E","373405"
"300167","Z","503678"
"300168","K","620301"
"300169","Z","555098"
"300170","K","280260"
"300171","J","790705"
"300172","E","821695"
"300173","Z","323467"
"300174","E","751355"
"300175","K","556366"
"300176","K","940252"
"300177","K","605286"
"300178","J","848795"
"300179","K","748165"
"300180","Z","017282"
"300181","J","569711"
"300182","E","576413"
"300183","Z","513895"
"300184","Z","925299"
"300185","E","035792"
"300186","J","974018"
"300187","J","436741"
"300188","K","910027"
"300189","Z","261681"
"300190","Z","035229"
"300191","Z","450028"
"300192","K","379030"
"300193","J","347437"
"300194","E","519580"
"300195","J","683262"
"300196","K","911092"
"300197","K","156420"
"300198","Z","433940"
"300199","K","154071"
"300200","Z","990032"
"300201","E","466074"
"300202","E","112777"
"300203","K","271632"
"300204","Z","171016"
"300205","E","932836"
"300206","Z","136778"
"300207","J","926560"
"300208","Z","754055"
"300209","E","477516"
"300210","J","631956"
"300211","J","823012"
"300212","E","162981"
"300213","E","921132"
"300214","E","329686"
"300215","J","353649"
"300216","E","216395"
"300217","K","589320"
"300218","E","392796"
"300219","K","535149"
"300220","K","823184"
"300221","J","080053"
"300222","K","454403"
"300223","Z","164650"
"300224","K","910497"
"300225","K","742738"
"300226","J","843921"
"300227","Z","398337"
"300228","K","950255"
"300229","J","774324"
"300230","E","399778"
