"","gta.series","gta.number"
"1000001","Z","653816"
"1000002","K","743735"
"1000003","E","814912"
"1000004","K","889028"
"1000005","Z","055486"
"1000006","E","606087"
"1000007","E","676896"
"1000008","Z","075733"
"1000009","E","169849"
"1000010","E","197208"
"1000011","J","933527"
"1000012","Z","544193"
"1000013","E","855972"
"1000014","E","108687"
"1000015","Z","714524"
"1000016","Z","530499"
"1000017","Z","827436"
"1000018","E","578695"
"1000019","K","938405"
"1000020","E","187778"
"1000021","K","976409"
"1000022","K","907070"
"1000023","K","932893"
"1000024","J","860670"
"1000025","J","007378"
"1000026","J","725851"
"1000027","K","558166"
"1000028","E","908559"
"1000029","K","272975"
"1000030","J","954532"
"1000031","K","764348"
"1000032","K","873522"
"1000033","J","041752"
"1000034","J","175399"
"1000035","Z","796241"
"1000036","Z","224567"
"1000037","E","112494"
"1000038","Z","169935"
"1000039","K","899129"
"1000040","J","750618"
"1000041","E","297014"
"1000042","K","976470"
"1000043","E","439023"
"1000044","K","550823"
"1000045","Z","392087"
"1000046","K","927049"
"1000047","Z","266203"
"1000048","K","978264"
"1000049","K","137898"
"1000050","J","666097"
"1000051","Z","416438"
"1000052","J","068593"
"1000053","J","457408"
"1000054","Z","070646"
"1000055","E","886183"
"1000056","K","344965"
"1000057","Z","551626"
"1000058","K","333321"
"1000059","J","756767"
"1000060","E","192072"
"1000061","K","161939"
"1000062","J","701159"
"1000063","J","874186"
"1000064","E","466803"
"1000065","K","756551"
"1000066","Z","455124"
"1000067","E","460287"
"1000068","K","259543"
"1000069","K","717987"
"1000070","E","442749"
"1000071","J","546709"
"1000072","J","383912"
"1000073","K","678344"
"1000074","Z","915277"
"1000075","K","905309"
"1000076","Z","058712"
"1000077","Z","890444"
"1000078","Z","248115"
"1000079","K","966064"
"1000080","K","444916"
"1000081","E","448595"
"1000082","E","857543"
"1000083","E","513864"
"1000084","E","115067"
"1000085","K","886249"
"1000086","Z","273035"
"1000087","J","313971"
"1000088","J","587099"
"1000089","K","754616"
"1000090","Z","955570"
"1000091","J","827992"
"1000092","Z","768877"
"1000093","Z","966602"
"1000094","E","408270"
"1000095","Z","128163"
